S_Name	S_1	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_2	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_4	S_40	S_41	S_42	S_43	S_44	S_45	S_46	S_47	S_48	S_49	S_5	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_60	S_61	S_62	S_63	S_64	S_65	S_66	S_67	S_68	S_69	S_7	S_70	S_71	S_72	S_8
ASV8872	0	31	0	74	79	62	105	0	0	0	0	28	48	58	35	17	42	0	0	0	0	0	0	0	0	0	0	0	0	42	35	40	0	24	0	22	27	31	72	0	83	93	0	0	42	32	0	36	0	28	0	76	0	38	90	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV8873	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	27	0	15	15	0	169	148	92	83	118	104	70	54	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	105	0	0	11	0	0	73	58	61	52	65	77	0	75	114	128	0
ASV8879	0	0	0	0	0	0	0	0	0	0	39	0	39	0	0	42	47	23	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	17	41	82	24	66	22	22	55	0	0	24	0	0	0	0	0	0	0	0
ASV8880	0	0	0	0	0	0	20	0	26	0	23	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	30	20	19	24	24	16	29	17	23	12	16	0	0	0	29	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	17
ASV8883	0	0	0	0	9	0	0	0	0	0	0	0	52	0	0	42	21	23	20	0	144	40	74	63	0	51	33	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	18	78	0	33	0	16	30	50	41	0	50	50	28	0	60	47	24	0
ASV8887	29	13	24	51	18	30	23	0	30	27	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	53	51	54	0	38	0	0	36	0	64	70	34	32	37	53	22	0	33	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	9
ASV8889	0	16	0	19	33	0	46	40	51	30	29	0	0	0	22	50	50	27	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	0	0	0	0	0	0	0	0	67	0	22	28	0	26	0	0	0	0	0	29	0	0	0	0	0	0	30	0	0
ASV8892	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	16	32	23	41	25	39	32	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	21	28	0	37	0	0	0	0	79	0	17	57	34	0	35	34	30	31	0	33	18	28	0
ASV8894	0	8	11	14	0	14	28	38	23	26	17	0	30	39	25	35	0	0	0	0	74	74	36	50	52	52	50	26	30	0	0	0	0	0	0	0	0	0	0	47	0	15	28	0	0	0	17	0	30	52	24	17	0	0	28	25	0	21	41	48	49	33	66	0	0	47	75	57	0
ASV8897	16	0	13	0	27	21	34	0	22	0	61	22	60	58	33	50	56	23	28	33	117	70	60	67	44	77	31	23	39	17	0	45	30	0	12	30	33	10	50	13	0	0	0	24	25	19	0	0	0	60	35	30	69	50	63	28	52	61	86	65	55	48	86	50	31	70	57	55	10
ASV8899	0	28	47	34	31	0	22	43	16	20	92	0	104	53	51	46	48	46	39	43	103	124	74	58	69	60	51	44	36	0	0	0	0	0	0	0	0	0	0	56	27	55	59	0	28	45	54	35	54	134	51	55	112	50	81	69	94	72	62	54	86	84	79	76	16	70	102	120	0
ASV8915	0	16	52	87	56	24	51	29	35	23	68	21	66	28	0	20	47	11	0	0	0	0	13	0	0	0	0	0	0	22	36	28	0	0	0	0	0	23	0	89	114	86	70	0	101	82	46	42	141	42	65	53	35	80	78	35	43	43	0	15	0	0	55	0	0	0	31	0	0
ASV8923	0	0	0	0	0	0	22	0	28	24	0	0	0	24	0	20	0	0	30	0	0	0	0	0	0	0	0	33	47	116	0	0	19	0	33	0	0	20	0	0	0	30	0	0	0	24	0	0	0	0	0	0	11	0	24	54	0	0	0	0	0	0	0	0	0	37	44	0	0
ASV8925	0	0	0	0	0	0	0	37	0	0	44	0	59	0	0	0	0	0	0	31	48	64	21	0	17	39	47	0	0	0	33	54	0	76	0	72	63	13	0	28	63	0	50	0	28	0	25	51	64	80	38	66	40	30	0	0	44	61	60	87	55	58	46	53	23	0	0	0	0
ASV8926	0	0	49	55	42	0	40	25	0	61	42	0	48	0	0	19	22	0	15	0	31	22	20	0	0	0	12	0	0	0	24	16	0	0	0	0	0	0	0	84	55	82	56	0	36	98	39	0	40	47	0	94	53	0	56	31	39	27	17	37	28	20	36	23	0	22	90	0	0
ASV8933	73	28	41	54	64	54	81	34	87	80	46	82	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	83	125	143	82	90	50	105	131	108	89	64	25	59	114	120	28	0	0	50	0	29	0	0	47	0	0	0	0	0	0	0	0	0	0	53	0	0	0	50
ASV8938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	55	0	12	29	13	14	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	46	19	21	18	0	0	23	26	0
